month,stateid,sectorid,sales,sales-units
2001-01,OR,RES,2133.25752,million kilowatthours
2001-02,OR,RES,1874.70239,million kilowatthours
2001-03,OR,RES,1780.77004,million kilowatthours
2001-04,OR,RES,1510.4514,million kilowatthours
2001-05,OR,RES,1296.98239,million kilowatthours
2001-06,OR,RES,1154.89689,million kilowatthours
2001-07,OR,RES,1103.93793,million kilowatthours
2001-08,OR,RES,1132.45797,million kilowatthours
2001-09,OR,RES,1072.38587,million kilowatthours
2001-10,OR,RES,1149.80874,million kilowatthours
2001-11,OR,RES,1449.62175,million kilowatthours
2001-12,OR,RES,1843.7231,million kilowatthours
2002-01,OR,RES,2082.01919,million kilowatthours
2002-02,OR,RES,1828.69139,million kilowatthours
2002-03,OR,RES,1801.26967,million kilowatthours
2002-04,OR,RES,1492.10517,million kilowatthours
2002-05,OR,RES,1313.20691,million kilowatthours
2002-06,OR,RES,1155.40908,million kilowatthours
2002-07,OR,RES,1174.79972,million kilowatthours
2002-08,OR,RES,1160.98172,million kilowatthours
2002-09,OR,RES,1111.81158,million kilowatthours
2002-10,OR,RES,1163.49563,million kilowatthours
2002-11,OR,RES,1441.98626,million kilowatthours
2002-12,OR,RES,1828.20769,million kilowatthours
2003-01,OR,RES,1922.69282,million kilowatthours
2003-02,OR,RES,1680.13961,million kilowatthours
2003-03,OR,RES,1695.29775,million kilowatthours
2003-04,OR,RES,1493.3497,million kilowatthours
2003-05,OR,RES,1357.45193,million kilowatthours
2003-06,OR,RES,1358.96741,million kilowatthours
2003-07,OR,RES,1232.66795,million kilowatthours
2003-08,OR,RES,1220.35908,million kilowatthours
2003-09,OR,RES,1162.62891,million kilowatthours
2003-10,OR,RES,1185.97018,million kilowatthours
2003-11,OR,RES,1493.07524,million kilowatthours
2003-12,OR,RES,1932.95942,million kilowatthours
2004-01,OR,RES,2189.64097,million kilowatthours
2004-02,OR,RES,1861.12913,million kilowatthours
2004-03,OR,RES,1703.60299,million kilowatthours
2004-04,OR,RES,1407.18477,million kilowatthours
2004-05,OR,RES,1169.7088,million kilowatthours
2004-06,OR,RES,1255.68718,million kilowatthours
2004-07,OR,RES,1245.2284,million kilowatthours
2004-08,OR,RES,1292.80822,million kilowatthours
2004-09,OR,RES,1173.7102,million kilowatthours
2004-10,OR,RES,1225.63153,million kilowatthours
2004-11,OR,RES,1530.03192,million kilowatthours
2004-12,OR,RES,1946.3439,million kilowatthours
2005-01,OR,RES,2138.11135,million kilowatthours
2005-02,OR,RES,1812.87338,million kilowatthours
2005-03,OR,RES,1686.99013,million kilowatthours
2005-04,OR,RES,1508.92939,million kilowatthours
2005-05,OR,RES,1277.59131,million kilowatthours
2005-06,OR,RES,1241.18461,million kilowatthours
2005-07,OR,RES,1227.93948,million kilowatthours
2005-08,OR,RES,1333.02279,million kilowatthours
2005-09,OR,RES,1194.92372,million kilowatthours
2005-10,OR,RES,1250.25238,million kilowatthours
2005-11,OR,RES,1515.5406,million kilowatthours
2005-12,OR,RES,2151.45584,million kilowatthours
2006-01,OR,RES,2083.22159,million kilowatthours
2006-02,OR,RES,1860.41169,million kilowatthours
2006-03,OR,RES,1942.89187,million kilowatthours
2006-04,OR,RES,1493.69425,million kilowatthours
2006-05,OR,RES,1308.37008,million kilowatthours
2006-06,OR,RES,1285.03101,million kilowatthours
2006-07,OR,RES,1420.41363,million kilowatthours
2006-08,OR,RES,1380.09744,million kilowatthours
2006-09,OR,RES,1279.34855,million kilowatthours
2006-10,OR,RES,1278.23697,million kilowatthours
2006-11,OR,RES,1590.82434,million kilowatthours
2006-12,OR,RES,2055.03759,million kilowatthours
2007-01,OR,RES,2361.73742,million kilowatthours
2007-02,OR,RES,1995.44502,million kilowatthours
2007-03,OR,RES,1785.977,million kilowatthours
2007-04,OR,RES,1470.68409,million kilowatthours
2007-05,OR,RES,1331.79767,million kilowatthours
2007-06,OR,RES,1293.55636,million kilowatthours
2007-07,OR,RES,1402.06107,million kilowatthours
2007-08,OR,RES,1382.1547,million kilowatthours
2007-09,OR,RES,1272.15932,million kilowatthours
2007-10,OR,RES,1356.32764,million kilowatthours
2007-11,OR,RES,1633.03728,million kilowatthours
2007-12,OR,RES,2089.52044,million kilowatthours
2008-01,OR,RES,2340.4017,million kilowatthours
2008-02,OR,RES,1978.80425,million kilowatthours
2008-03,OR,RES,1841.56612,million kilowatthours
2008-04,OR,RES,1653.23161,million kilowatthours
2008-05,OR,RES,1444.13781,million kilowatthours
2008-06,OR,RES,1300.26147,million kilowatthours
2008-07,OR,RES,1458.51677,million kilowatthours
2008-08,OR,RES,1390.56091,million kilowatthours
2008-09,OR,RES,1235.41805,million kilowatthours
2008-10,OR,RES,1365.74018,million kilowatthours
2008-11,OR,RES,1557.53986,million kilowatthours
2008-12,OR,RES,2343.66529,million kilowatthours
2009-01,OR,RES,2207.71876,million kilowatthours
2009-02,OR,RES,1929.46328,million kilowatthours
2009-03,OR,RES,1917.83637,million kilowatthours
2009-04,OR,RES,1553.66275,million kilowatthours
2009-05,OR,RES,1358.52154,million kilowatthours
2009-06,OR,RES,1242.00825,million kilowatthours
2009-07,OR,RES,1514.67894,million kilowatthours
2009-08,OR,RES,1406.85813,million kilowatthours
2009-09,OR,RES,1240.83567,million kilowatthours
2009-10,OR,RES,1378.36804,million kilowatthours
2009-11,OR,RES,1680.40419,million kilowatthours
2009-12,OR,RES,2373.9591,million kilowatthours
2010-01,OR,RES,2062.77228,million kilowatthours
2010-02,OR,RES,1658.07968,million kilowatthours
2010-03,OR,RES,1749.55784,million kilowatthours
2010-04,OR,RES,1528.71963,million kilowatthours
2010-05,OR,RES,1355.61632,million kilowatthours
2010-06,OR,RES,1289.91829,million kilowatthours
2010-07,OR,RES,1432.18958,million kilowatthours
2010-08,OR,RES,1403.53925,million kilowatthours
2010-09,OR,RES,1240.50031,million kilowatthours
2010-10,OR,RES,1304.69316,million kilowatthours
2010-11,OR,RES,1617.80814,million kilowatthours
2010-12,OR,RES,2195.27153,million kilowatthours
2011-01,OR,RES,2219.00775,million kilowatthours
2011-02,OR,RES,1833.42387,million kilowatthours
2011-03,OR,RES,1884.16305,million kilowatthours
2011-04,OR,RES,1594.62813,million kilowatthours
2011-05,OR,RES,1435.56276,million kilowatthours
2011-06,OR,RES,1278.93257,million kilowatthours
2011-07,OR,RES,1307.82188,million kilowatthours
2011-08,OR,RES,1410.59484,million kilowatthours
2011-09,OR,RES,1303.17633,million kilowatthours
2011-10,OR,RES,1298.09435,million kilowatthours
2011-11,OR,RES,1692.29247,million kilowatthours
2011-12,OR,RES,2171.477,million kilowatthours
2012-01,OR,RES,2134.64745,million kilowatthours
2012-02,OR,RES,1830.08594,million kilowatthours
2012-03,OR,RES,1844.31104,million kilowatthours
2012-04,OR,RES,1499.8915,million kilowatthours
2012-05,OR,RES,1317.30199,million kilowatthours
2012-06,OR,RES,1261.14678,million kilowatthours
2012-07,OR,RES,1414.28885,million kilowatthours
2012-08,OR,RES,1451.40043,million kilowatthours
2012-09,OR,RES,1209.19391,million kilowatthours
2012-10,OR,RES,1287.19226,million kilowatthours
2012-11,OR,RES,1589.0693,million kilowatthours
2012-12,OR,RES,2016.12955,million kilowatthours
2013-01,OR,RES,2297.47474,million kilowatthours
2013-02,OR,RES,1805.40687,million kilowatthours
2013-03,OR,RES,1706.9735,million kilowatthours
2013-04,OR,RES,1438.37346,million kilowatthours
2013-05,OR,RES,1303.51394,million kilowatthours
2013-06,OR,RES,1228.20455,million kilowatthours
2013-07,OR,RES,1495.85079,million kilowatthours
2013-08,OR,RES,1343.17175,million kilowatthours
2013-09,OR,RES,1241.41501,million kilowatthours
2013-10,OR,RES,1448.00914,million kilowatthours
2013-11,OR,RES,1609.35145,million kilowatthours
2013-12,OR,RES,2410.81282,million kilowatthours
2014-01,OR,RES,2159.67075,million kilowatthours
2014-02,OR,RES,1911.4392,million kilowatthours
2014-03,OR,RES,1631.24852,million kilowatthours
2014-04,OR,RES,1412.24289,million kilowatthours
2014-05,OR,RES,1286.53472,million kilowatthours
2014-06,OR,RES,1180.99737,million kilowatthours
2014-07,OR,RES,1477.29599,million kilowatthours
2014-08,OR,RES,1453.92118,million kilowatthours
2014-09,OR,RES,1274.09053,million kilowatthours
2014-10,OR,RES,1223.13077,million kilowatthours
2014-11,OR,RES,1601.10681,million kilowatthours
2014-12,OR,RES,2005.93427,million kilowatthours
2015-01,OR,RES,1990.24879,million kilowatthours
2015-02,OR,RES,1547.83493,million kilowatthours
2015-03,OR,RES,1542.6657,million kilowatthours
2015-04,OR,RES,1403.13909,million kilowatthours
2015-05,OR,RES,1227.72401,million kilowatthours
2015-06,OR,RES,1362.04976,million kilowatthours
2015-07,OR,RES,1570.62168,million kilowatthours
2015-08,OR,RES,1447.97476,million kilowatthours
2015-09,OR,RES,1204.22204,million kilowatthours
2015-10,OR,RES,1279.16904,million kilowatthours
2015-11,OR,RES,1609.59394,million kilowatthours
2015-12,OR,RES,2083.76324,million kilowatthours
2016-01,OR,RES,2115.38333,million kilowatthours
2016-02,OR,RES,1664.16031,million kilowatthours
2016-03,OR,RES,1653.21456,million kilowatthours
2016-04,OR,RES,1312.00066,million kilowatthours
2016-05,OR,RES,1281.16448,million kilowatthours
2016-06,OR,RES,1326.73956,million kilowatthours
2016-07,OR,RES,1375.54806,million kilowatthours
2016-08,OR,RES,1507.5087,million kilowatthours
2016-09,OR,RES,1228.45988,million kilowatthours
2016-10,OR,RES,1338.26464,million kilowatthours
2016-11,OR,RES,1474.20025,million kilowatthours
2016-12,OR,RES,2296.59758,million kilowatthours
2017-01,OR,RES,2545.62395,million kilowatthours
2017-02,OR,RES,1863.33219,million kilowatthours
2017-03,OR,RES,1775.93586,million kilowatthours
2017-04,OR,RES,1464.17016,million kilowatthours
2017-05,OR,RES,1384.23649,million kilowatthours
2017-06,OR,RES,1323.47874,million kilowatthours
2017-07,OR,RES,1516.62236,million kilowatthours
2017-08,OR,RES,1594.8741,million kilowatthours
2017-09,OR,RES,1346.71807,million kilowatthours
2017-10,OR,RES,1336.60575,million kilowatthours
2017-11,OR,RES,1677.84165,million kilowatthours
2017-12,OR,RES,2236.49068,million kilowatthours
2018-01,OR,RES,2055.76115,million kilowatthours
2018-02,OR,RES,1780.79218,million kilowatthours
2018-03,OR,RES,1797.43415,million kilowatthours
2018-04,OR,RES,1496.52165,million kilowatthours
2018-05,OR,RES,1300.57157,million kilowatthours
2018-06,OR,RES,1261.35413,million kilowatthours
2018-07,OR,RES,1523.26484,million kilowatthours
2018-08,OR,RES,1503.86955,million kilowatthours
2018-09,OR,RES,1196.69343,million kilowatthours
2018-10,OR,RES,1287.90092,million kilowatthours
2018-11,OR,RES,1637.3386,million kilowatthours
2018-12,OR,RES,2089.08084,million kilowatthours
2019-01,OR,RES,2070.41444,million kilowatthours
2019-02,OR,RES,1999.11121,million kilowatthours
2019-03,OR,RES,1892.55317,million kilowatthours
2019-04,OR,RES,1363.31149,million kilowatthours
2019-05,OR,RES,1263.77884,million kilowatthours
2019-06,OR,RES,1267.60536,million kilowatthours
2019-07,OR,RES,1409.84764,million kilowatthours
2019-08,OR,RES,1471.665,million kilowatthours
2019-09,OR,RES,1265.31054,million kilowatthours
2019-10,OR,RES,1457.75225,million kilowatthours
2019-11,OR,RES,1721.8971,million kilowatthours
2019-12,OR,RES,2102.93495,million kilowatthours
2020-01,OR,RES,1989.42561,million kilowatthours
2020-02,OR,RES,1796.85284,million kilowatthours
2020-03,OR,RES,1813.31954,million kilowatthours
2020-04,OR,RES,1477.68276,million kilowatthours
2020-05,OR,RES,1368.30973,million kilowatthours
2020-06,OR,RES,1353.22869,million kilowatthours
2020-07,OR,RES,1573.69118,million kilowatthours
2020-08,OR,RES,1569.92799,million kilowatthours
2020-09,OR,RES,1348.79111,million kilowatthours
2020-10,OR,RES,1405.64315,million kilowatthours
2020-11,OR,RES,1772.06116,million kilowatthours
2020-12,OR,RES,2159.07724,million kilowatthours
2021-01,OR,RES,2062.30231,million kilowatthours
2021-02,OR,RES,1937.50117,million kilowatthours
2021-03,OR,RES,1880.00329,million kilowatthours
2021-04,OR,RES,1465.89829,million kilowatthours
2021-05,OR,RES,1343.4496,million kilowatthours
2021-06,OR,RES,1599.09701,million kilowatthours
2021-07,OR,RES,1697.17144,million kilowatthours
2021-08,OR,RES,1648.59997,million kilowatthours
2021-09,OR,RES,1330.43052,million kilowatthours
2021-10,OR,RES,1426.61527,million kilowatthours
2021-11,OR,RES,1635.7882,million kilowatthours
2021-12,OR,RES,2231.72197,million kilowatthours
2022-01,OR,RES,2252.19813,million kilowatthours
2022-02,OR,RES,1913.94861,million kilowatthours
2022-03,OR,RES,1796.99979,million kilowatthours
2022-04,OR,RES,1624.28015,million kilowatthours
2022-05,OR,RES,1433.05865,million kilowatthours
2022-06,OR,RES,1355.40892,million kilowatthours
2022-07,OR,RES,1698.91869,million kilowatthours
